R19	154.83	49.67	180.00	5K1	ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT	116.50	38.80	0.00	200	ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1	14.60	50.07	180.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2	14.77	47.47	0.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R20	157.83	58.48	0.00	5K1	ESP32_WROVER_EAGLE-LTSPICE_R0402
R21	135.06	43.79	270.00	100K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1	14.67	48.80	180.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R3	20.50	38.20	180.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R5	15.40	40.50	180.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R6	8.80	46.50	180.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R7	44.10	59.63	0.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R8	45.10	61.90	180.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON	62.05	108.71	180.00	BUTTON_CUSYOMV1	MYBUTTON
R_BOOT	20.36	108.13	270.00	10k	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR	85.82	66.57	270.00	15	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE	45.33	108.18	270.00	10k	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET	58.55	108.23	270.00	10k	ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2	153.57	19.23	90.00	BME688	ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1	67.00	20.13	0.00		SJ
TP1	14.02	78.22	0.00	TPTP20R	TP20R
TP10	68.37	8.37	0.00	TPTP20R	TP20R
TP11	6.76	78.59	0.00	TPTP20R	TP20R
TP12	16.49	43.55	0.00	TPTP20R	TP20R
TP13	9.24	43.55	0.00	TPTP20R	TP20R
TP14	71.58	8.35	0.00	TPTP20R	TP20R
TP15	94.34	34.05	0.00	TPTP20R	TP20R
TP16	140.11	40.25	0.00	TPTP20R	TP20R
TP17	11.56	43.65	0.00	TPTP20R	TP20R
TP2	16.77	78.25	0.00	TPTP20R	TP20R
TP3	121.95	29.95	0.00	TPTP20R	TP20R
TP4	118.47	30.05	0.00	TPTP20R	TP20R
TP6	13.91	43.55	0.00	TPTP20R	TP20R
TP7	91.23	34.05	0.00	TPTP20R	TP20R
TP8	28.75	64.97	0.00	TPTP20R	TP20R
TP9	38.01	56.93	0.00	TPTP20R	TP20R
U1	15.60	62.24	90.00	ESP32-C6-WROOM-1-N8	XCVR_ESP32-C6-WROOM-1-N8
U2	140.83	35.58	0.00	MAX17048G+T10	SON50P200X200X80-9N
U3	36.60	62.46	0.00	W25Q512JVEIQ	SON127P600X800X80-9N
U4	82.45	56.40	270.00	DS3231SN#	SOIC127P1032X265-16N
