Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CENTROID_NOT_SPECIFIED,CHECK_PRICES,COPYRIGHT,DATASHEET,DESCRIPTION,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,HEIGHT,LEAD_FREE,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MP,MPN,PACKAGE,POPULARITY,PREFIX,PRICE,PROD_ID,PURCHASE-URL,ROHS,SNAPEDA_LINK,SPICEMODEL,SPICEPREFIX,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,TP_SIGNAL_NAME,VALUE
1,2K,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R16,"RESISTOR, European symbol",,,,,,,https://www.vishay.com/doc?20035,,,,,,,,,,https://eu.mouser.com/ProductDetail/Vishay-Dale/CRCW040240K2FKED?qs=rzhQWu8UUS3g49JmcwYN7w%3D%3D&utm_id=20109199409&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=EAIaIQobChMI4vv9kZaojAMV7YKDBx2W9Ae5EAAYAiAAEgK9cfD_BwE,,,,,,,,,,,,,,NONE,R,,,,
2,4.7uF,EAGLE-LTSPICE_CC0402,EAGLE-LTSPICE_C0402,"C22, C23","CAPACITOR, European symbol",,,,,,,https://ro.mouser.com/datasheet/2/447/KEM_C1006_X5R_SMD-3316465.pdf,,,,,,,,,,,https://ro.mouser.com/ProductDetail/KEMET/C0402C475K8PACTU?qs=sGAEpiMZZMsh%252B1woXyUXj%252BeMYF%2FJh1ZHWLnD7xub%252BoY%3D,,,,,,,,,,,,,NONE,C,,,,
2,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,"C26, C27","CAPACITOR, European symbol",,,,,,,https://ro.mouser.com/datasheet/2/447/KEM_C1006_X5R_SMD-3316465.pdf,,,,,,,,,,,https://ro.mouser.com/ProductDetail/KEMET/C0402C475K8PACTU?qs=sGAEpiMZZMsh%252B1woXyUXj%252BeMYF%2FJh1ZHWLnD7xub%252BoY%3D,,,,,,,,,,,,,NONE,C,,,,
1,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,C20,"CAPACITOR, European symbol",,,,,,,https://ro.mouser.com/datasheet/2/447/KEM_C1006_X5R_SMD-3316465.pdf,,,,,,,,,,,https://ro.mouser.com/ProductDetail/KEMET/C0402C475K8PACTU?qs=sGAEpiMZZMsh%252B1woXyUXj%252BeMYF%2FJh1ZHWLnD7xub%252BoY%3D,,,,,,,,,,,,,NONE,C,,,,
2,5K1,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,"R19, R20","RESISTOR, European symbol",,,,,,,https://www.vishay.com/doc?20035,,,,,,,,,,https://eu.mouser.com/ProductDetail/Vishay-Dale/CRCW040240K2FKED?qs=rzhQWu8UUS3g49JmcwYN7w%3D%3D&utm_id=20109199409&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=EAIaIQobChMI4vv9kZaojAMV7YKDBx2W9Ae5EAAYAiAAEgK9cfD_BwE,,,,,,,,,,,,,,NONE,R,,,,
1,68uH,744043680IND_4828-WE-TPC_WRE,IND_4828-WE-TPC_WRE,L3,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",https://www.we-online.com/components/products/datasheet/744043680.pdf,,,,,,,744043680,,"Wurth Electronics",,https://ro.mouser.com/ProductDetail/Wurth-Elektronik/744043680?qs=PGXP4M47uW6VkZq%252BkzjrHA%3D%3D&srsltid=AfmBOoq3PLABygfB0-85eEKpA9SffUYwty425nbkhbFJ01kDNoAxFF7J,,,,,,,,,,,,,,,,,,
1,BD5229G-TR,BD5229G-TR,SOT95P280X125-5N,IC1,"Voltage Detector with Adjustable Delay Time: CMOS processes are utilized to develop high precision, low current consumption CMOS reset ICs that allow arbitrary setting of the delay time. The extensive lineup includes both Nch Open Drain and CMOS output types in a wide range of detection voltages (from 2.3V to 6.0V, in 0.1V steps), enabling selection of the ideal solution based on customer requirements. In addition, the entire series is of course both lead-free and RoHS-compliant.",,,,,,,https://fscdn.rohm.com/en/products/databook/datasheet/ic/power/voltage_detector/bd52xxg-e.pdf,"Voltage Detector with Adjustable Delay Time: CMOS processes are utilized to develop high precision"," low current consumption CMOS reset ICs that allow arbitrary setting of the delay time. The extensive lineup includes both Nch Open Drain and CMOS output types in a wide range of detection voltages (from 2.3V to 6.0V"," in 0.1V steps)"," enabling selection of the ideal solution based on customer requirements. In addition"," the entire series is of course both lead-free and RoHS-compliant.",,,1.25mm,,"ROHM Semiconductor",BD5229G-TR,,,755-BD5229G-TR,https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/BD5229G-TR?qs=4kLU8WoGk0vvnhrrYwdszw%3D%3D,,,,,,,,,,,,,,
1,BME688,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N,SENSOR2,"Integrated Environmental Unit",,,Unavailable,,,,https://ro.mouser.com/datasheet/2/783/BST_BME680_DS001-1509608.pdf," Integrated Environmental Unit ",,,,,,,"Bosch Sensortec",,,https://ro.mouser.com/ProductDetail/Bosch-Sensortec/BME680?qs=v271MhAjFHjo0yA%2FC4OnDQ%3D%3D,,,BME680,,"LGA-8 Bosch Tools",,,None,,,,,,,,,,
3,BUTTON_CUSYOMV1,BUTTON_CUSYOMV1,MYBUTTON,"BOOT_BUTTON, CHANGE_BUTTON, RESET_BUTTON",,,,,,,,https://4donline.ihs.com/images/VipMasterIC/IC/PANA/PANAS45028/PANAS45028-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,,,,,,,,,,,https://ro.mouser.com/ProductDetail/Panasonic/EVQ-9P701P?qs=NPkb10g2yLBKCwpELvsGNg%3D%3D,,,,,,,,,,,,,,,,,,
1,CPH3225A,CPH3225A,CAPCP3225X100N,C6,"Cap 0.011F 3.3V 1210 Flat Check availability",,,"Not in stock",,https://www.snapeda.com/parts/CPH3225A/Seiko+Instruments/view-part/?ref=eda,,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6537/rev05-CPHCPM.pdf," 11 mF (EDLC) Supercapacitor 3.3 V 1210 (3225 Metric) - - ",,,,,,,"Seiko Instruments",,,,,,CPH3225A,,"1210 Seiko",,,None,,"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=562593&manufacturer=Seiko Instruments&part_name=CPH3225A&search_term=None",,https://www.snapeda.com/parts/CPH3225A/Seiko+Instruments/view-part/?ref=snap,,,,,,
